Event	ID	Name			Wwise Object Path	Notes
	238663194	BulletDrop			\Default Work Unit\BulletDrop	
	674522502	Land			\Default Work Unit\Land	
	678561523	JumpStart			\Default Work Unit\JumpStart	
	823131329	Spin			\Default Work Unit\Spin	
	1097980931	TestEvent			\Default Work Unit\TestEvent	
	1404805401	DoorOpen			\Default Work Unit\DoorOpen	
	1432588725	Select			\Default Work Unit\Select	
	1866025847	FootStep			\Default Work Unit\FootStep	
	2258979263	Buzzer			\Default Work Unit\Buzzer	
	2316563647	MuteMusic			\Default Work Unit\MuteMusic	
	2975448509	GunFire			\Default Work Unit\GunFire	
	3551877634	ReloadClick			\Default Work Unit\ReloadClick	
	3742273957	TargetUp			\Default Work Unit\TargetUp	
	3822001633	TargetHit			\Default Work Unit\TargetHit	
	3827058668	StartMusic			\Default Work Unit\StartMusic	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	828796457	Brent Hugh - Claire De Lune (Debussy)	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\Brent Hugh - Claire De Lune (Debussy)_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Brent Hugh - Claire De Lune (Debussy)		61848640
	829689240	BulletDrop1	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\337233__anthousai__bullet-shells-single-consolidated_0E9F86B5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Bullets\BulletDrop1		171560
	877140193	111676__dredile__revolvercock1	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\111676__dredile__revolvercock1_E8AAE3DE.wem		\Actor-Mixer Hierarchy\Default Work Unit\111676__dredile__revolvercock1		20420
	950382128	194989__soundmary__unlocking-metal-door	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\194989__soundmary__unlocking-metal-door_238F22A3.wem		\Actor-Mixer Hierarchy\Default Work Unit\194989__soundmary__unlocking-metal-door		171924
	981547691	FootStep_01	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\459964__florianreichelt__footsteps-on-concrete_CDAD2E70.wem		\Actor-Mixer Hierarchy\Default Work Unit\FootSteps\FootStep_01		70668
	1002095734	BulletDrop3	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\337233__anthousai__bullet-shells-single-consolidated_15BAB1A6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Bullets\BulletDrop3		264468
	1015246522	FootStep_02	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\459964__florianreichelt__footsteps-on-concrete_8D84AAA0.wem		\Actor-Mixer Hierarchy\Default Work Unit\FootSteps\FootStep_02		76320
	1022833683	275910__pgonsilva__buzzer	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\275910__pgonsilva__buzzer_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\275910__pgonsilva__buzzer		274712
	1026188703	Coin2(16)	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\Coin2(16)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Coin2(16)		15838
	1068684440	Strike	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\Strike_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Strike		241728

